title,abstract,year,pmid,source,paperId,study_design,base_score,sample_size,evidence_score
transcriptomic modulation of inflammasome-related genes following metformin administration in breast cancer patients with paclitaxel-induced neuropathy.,"introduction: chemotherapy-induced peripheral neuropathy (cipn) is a common adverse effect of paclitaxel therapy. the inflammasome complex, including apoptosis-associated speck-like protein containing a card (asc), caspase-1, and nod-like receptor family pyrin domain-containing 3 (nlrp3), is implicated in inflammatory signaling pathways related to neuropathy. this study aimed to evaluate transcriptomic changes in genes involved in the inflammasome pathway in breast cancer patients, with a specific focus on metformin treatment initiated after the onset of neuropathy. materials and methods: a total of 51 breast cancer patients receiving paclitaxel were included (26 controls, 25 metformin). metformin was initiated following the clinical onset of neuropathy. plasma samples were collected at baseline, cycle 6, and cycle 12. expression levels of asc, caspase-1, and nlrp3 were quantified as fold-change. statistical analyses included normality testing (shapiro-wilk), temporal comparisons (friedman or repeated-measures anova), group comparisons (mann-whitney u-test), correlation (spearman), and receiver operating characteristic (roc) analysis. results: no significant baseline differences were observed between groups. in the control group, asc expression increased over time (p = 0.0005), while caspase-1 and nlrp3 showed no significant temporal changes. in neuropathic patients, asc (p < 0.0001), caspase-1 (p = 0.0007), and nlrp3 (p = 0.04) expression levels were higher in the metformin group. roc analysis demonstrated moderate discriminatory ability for asc (auc = 0.74) and caspase-1 (auc = 0.70), whereas nlrp3 showed weaker performance (auc = 0.62). correlation analysis revealed positive associations between asc and caspase-1, suggesting coordinated gene expression. these findings reflect transcriptomic modulation rather than functional inflammasome activation. conclusion: metformin administration after neuropathy onset was associated with transcriptomic changes in genes involved in the inflammasome pathway. however, these findings should be interpreted cautiously, as plasma rna may not reflect protein activity or neural tissue processes, and further validation studies are required.",2026,42273646.0,PubMed,,Undetermined / Default,4.0,-1,4.0
nanoparticle-based radiosensitization in breast cancer: a multimodal approach to therapy and immune regulation.,"radiotherapy is essential for breast cancer treatment, especially after lumpectomy. its effectiveness, however, is hindered by tumor resistance, which causes recurrence and poorer outcomes. in the last decade, nanoparticle-mediated radiosensitization has emerged as a promising strategy to improve radiotherapy in breast cancer. metal nanoparticles, such as gold, silver, platinum, and bismuth, increase the localized radiation dose through secondary electron emission and generate reactive oxygen species (ros). polymeric, liposomal, and hydrogel nanocarriers deliver radiosensitizers directly to tumors with sustained release. these features increase cytotoxicity and reduce hypoxia-related radioresistance. nanoparticles also inhibit dna repair pathways and modulate the tumor microenvironment, which enhances the radiation response. additionally, nanoparticles can boost the effects of immunotherapy by activating dendritic cells, strengthening immune checkpoint blockade, and promoting anti-tumor immune memory. recent preclinical studies have shown that combining nanoparticles loaded with natural compounds, such as curcumin, polyphenols, flavonoids, and metformin, increases oxidative stress and radiosensitivity in breast tumors while sparing healthy tissue. we provide an overview of nanoparticle-mediated radiosensitization mechanisms and novel supporting approaches for achieving better tumor responses with reduced toxicity.",2026 May,42204960.0,PubMed,,Undetermined / Default,4.0,-1,4.0
"safety analyses of the inavo120 randomised phase iii trial of inavolisib or placebo with palbociclib-fulvestrant in patients with pik3ca-mutated, hormone receptor-positive, her2-negative, endocrine-resistant advanced breast cancer.","background: inavo120 (nct04191499) demonstrated significantly improved progression-free/overall survival with inavolisib plus palbociclib-fulvestrant versus placebo plus palbociclib-fulvestrant in patients with pik3ca-mutated, hormone receptor-positive, her2-negative, endocrine-resistant advanced breast cancer. we provide comprehensive analyses of key selected adverse events and their management. materials and methods: inavolisib was given 9 mg orally once daily on days 1-28 of each 28-day cycle; palbociclib, at 125 mg orally once daily on days 1-21; fulvestrant, at 500 mg intramuscularly on days 1 and 15 of cycle 1, and every  approximately 28 days thereafter. supportive therapies were used as clinically indicated. key selected adverse events assessed included hyperglycaemia, stomatitis/mucosal inflammation, rash and diarrhoea, graded per national cancer institute common terminology criteria for adverse events v5.0. results: data cut-off was 29 september 2023; median follow-up was 21.3 months (range 0-43.1; inavolisib arm) and 21.5 months (0.1-40.3; placebo arm). inavolisib dose interruptions, reductions and discontinuations due to hyperglycaemia were observed in 27.2%, 2.5% and 0.6% of patients, respectively; the median time to first onset was 7.0 days (range 2.0-955.0). metformin was the most commonly used antihyperglycaemic. no patients in the prediabetic population discontinued inavolisib due to hyperglycaemia. inavolisib dose interruptions, reductions and discontinuations due to rash were observed in 1.2%, 0.6% and 0% of patients, respectively; the median time to first onset was 29.0 days (range 1.0-952.0). topical hydrocortisone was most commonly used. inavolisib dose interruptions, reductions and discontinuations due to stomatitis/mucosal inflammation were observed in 9.9%, 3.7% and 0.6% of patients, respectively; the median time to first onset was 13.0 days (range 1.0-610.0). dexamethasone mouthwash was most commonly used. inavolisib dose interruptions, reductions and discontinuations due to diarrhoea were observed in 6.8%, 1.2% and 0% of patients respectively; the median time to first onset was 13.0 days (range 1.0-610.0). loperamide was most commonly used. data were largely comparable across regions and ages. inavolisib's safety profile was consistent with that of long-term treated populations. conclusions: this analysis demonstrates the generally consistent, manageable and tolerable safety profile of inavolisib plus palbociclib-fulvestrant. key selected adverse events were generally reversible and were controlled by concomitant medications and dose modifications.",2026 May 27,42202490.0,PubMed,,Randomized Controlled Trial (Phase III/IV),9.0,-1,8.5
sternoclavicular joint infection caused by staphylococcus capitis.,"a 74-year-old female patient presented with ""palpitations and chest tightness for half a day."" the symptoms developed suddenly while riding an elevator, accompanied by shortness of breath, but without dizziness or chest pain. the patient had a 5-year history of diabetes, managed with metformin. she had undergone a right mastectomy 20 years ago for breast cancer. on admission, her vital signs were stable. physical examination revealed a tender, swollen mass in the right side of the neck, soft in texture, with purulent drainage. blood tests showed an elevated c-reactive protein (crp) level (51.47 mg/l). imaging studies (computed tomography [ct], ultrasound, magnetic resonance imaging [mri]) revealed a soft tissue mass in the right clavicular region, with possible osteomyelitis. the patient was diagnosed with a right-sided sternoclavicular joint skin infection complicated by osteomyelitis. surgical debridement and drainage were performed, and pathological examination confirmed a staphylococcus capitis infection. the patient was treated with a 10-week course of antibiotics, initially with intravenous ertapenem, later switched to oral linezolid. throughout the treatment, no adverse drug reactions were observed. one month later, follow-up observations indicate that the patient's surgical wound is healing well. the patient's symptoms significantly improved, with complete resolution of palpitations, chest tightness, and shortness of breath. the treatment was well-tolerated. this case report aims to raise clinicians' awareness of sternoclavicular joint infections caused by staphylococcus capitis and to highlight the importance of early diagnosis and individualized treatment strategies.",2026 May 8,42184239.0,PubMed,,Case Report / Case Study,3.0,-1,3.0
polycystic ovary syndrome and its association with reproductive cancers in women.,"objective: to determine whether individuals with polycystic ovary syndrome (pcos) are at an increased risk of female reproductive cancers. study design: a retrospective cohort study was performed using optum's deidentified clinformatics data mart database (2000-2022). subjects: females aged 18-50 with no prior reproductive cancer history. exposure: individuals with pcos, identified through icd9/10 codes for pcos and codes for both hirsutism and irregular menses, were matched 1:5 by age and diagnosis month with women without pcos. main outcome measures: the outcomes were incident female reproductive cancers, specifically: breast, uterine, ovarian/fallopian tube, and cervical. stabilized inverse probability of treatment weights (iptw) were used to control for confounding by race/ethnicity, education, and history of obesity, smoking, infertility, hypertension, hyperlipidemia, diabetes, and hormonal contraception use. the adjusted hazard (hr) of each outcome was calculated using doubly robust ipt-weighted cox proportional hazards models adjusted for the variables in the iptw models plus hereditary cancer syndrome. censoring was performed at the time of diagnosis, date of surgery for the affected organ (e.g., date of hysterectomy for uterine cancer outcome), or end of time in optum clinformatics, as appropriate. sensitivity analyses additionally controlled for medications used to treat medical comorbidities, including metformin, antihypertensives, and statins. results: a total of 422,613 patients with pcos were age-matched to 2,113,065 patients without pcos, with a mean age of approximately 31 +/- 7 years in both groups. at baseline, those with pcos had a higher prevalence of all medical comorbidities assessed, yet equivalent prevalence of hereditary cancer syndrome (0.2%). over an average of 3.6 +/- 4.1 years of follow-up, those with pcos had significantly higher hazard of breast cancer (adjusted hazard ratio [ahr] 2.66, 95% confidence interval [ci]: 2.50-2.83), uterine cancer (ahr 5.76, 95% ci: 5.13-6.48), ovarian/fallopian tube cancer (ahr 4.38, 95% ci: 3.90-4.92), and cervical cancer (ahr 2.22, 95% ci: 2.06-2.37). sensitivity analyses showed similar results for all outcomes. conclusion: this large nationwide population-based study showed an increased risk of multiple reproductive cancers in reproductive-age women with pcos compared with those without pcos. findings should be considered when determining future screening recommendations.",2026 May 22,42176842.0,PubMed,,Retrospective Cohort / Case-Control,6.5,422613,7.5
assessment of alpelisib-induced hyperglycemia in a real-world setting: a nationwide claims data analysis.,"introductionalpelisib exhibits variability in length of drug exposure and clinical safety outside of clinical trials. this study aimed to bridge the gap between clinical trial outcomes and real-world evidence by quantifying the time on therapy (tot) and examining the type and duration of antidiabetic agents used to manage alpelisib-induced hyperglycemia.methodsthis is a retrospective longitudinal study utilizing nationwide claims data to analyze the treatment patterns of adults with breast cancer treated with alpelisib. generalized estimating equation and cox proportional hazards modeling were used to assess the impact of demographic and clinical characteristics on having an antidiabetic agent(s) and tot of alpelisib, respectively.resultsin 546 participants treated with alpelisib, the median tot was 87.5 days (iqr, 28.0-173.7) and the median of proportion of days covered (pdc) was 97.62% (iqr, 87.7-100.0). antidiabetic agent(s) usage increased from 20.0% to 34.3% pre- and post-alpelisib initiation, respectively. among those who started antidiabetic agents after alpelisib, 81.8% were prescribed metformin and 44% insulin. initiation of alpelisib therapy was associated with higher antidiabetic agent(s) usage (or = 2.19, 95% ci, 1.61-2.97, p < 0.001). the use of antidiabetic agent(s) after starting alpelisib was associated with a longer tot (hr = 0.76, 95% ci, 0.61-0.93, p = 0.008) compared to those who did not receive antidiabetic agent(s).conclusionthe study shows that individuals who started antidiabetic agents after initiating alpelisib had longer tot. this necessitates the need for close monitoring and proactive hyperglycemia management to improve adherence and clinical outcomes for individuals taking alpelisib.",2026 May 20,42159385.0,PubMed,,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,546,8.5
association between hba1c and breast cancer risk in women with type 2 diabetes mellitus: a case-control study.,"type 2 diabetes mellitus (t2dm) has been linked to several types of cancer, including breast cancer. glycated hemoglobin (hba1c) serves as an indicator of long-term blood sugar control, and elevated levels may contribute to the development of breast cancer. this study aims to evaluate the association between elevated hba1c levels and breast cancer risk in women with t2dm attending a tertiary care hospital in south india, and to compare hba1c levels between diabetic women with and without breast cancer. a retrospective case-control study was conducted at kovai medical center from 2014 to 2016 among women with t2dm. breast cancer was histopathologically confirmed. data on hba1c (<7.0% vs >/=7.0%), body mass index, diabetes duration, menopausal status, and family history were collected. associations with breast cancer risk were analyzed using chi-square tests and logistic regression adjusted for confounders, with significance set at p < .05. the study included 182 women with t2dm and breast cancer and 197 age-matched controls without breast cancer. poor glycemic control (hba1c >/= 7.0%) was more prevalent among cases and significantly associated with breast cancer in multivariable logistic regression adjusting for age, body mass index, menopausal status, diabetes duration, and insulin use (adjusted or = 2.98, 95% ci: 1.08-8.21, p < .0001). additional risk factors included postmenopausal status (or = 4.52, 95% ci: 1.36-15.00), age 50 to 59 years (or = 8.30, 95% ci: 2.80-19.32), and insulin use (or = 2.57, 95% ci: 1.04-3.21). most cases were estrogen receptor and progesterone receptor negative, with 63% diagnosed at stage i. advanced stages (ii/iii), triple-negative breast cancer (or = 2.78, 95% ci: 1.05-3.65), and higher ki-67 index (intermediate: or = 1.91, high: or = 3.00) were linked to more aggressive disease. in this retrospective case-control study, higher hba1c levels (>/=7.0%) were associated with breast cancer presence and more advanced tumor stages among women with t2dm, although the odds ratio for hba1c should be interpreted cautiously. postmenopausal status and insulin use were more common among cases, while metformin use showed a nonsignificant inverse trend. triple-negative breast cancer status and higher ki-67 index were also more frequent in advanced disease.",2026 May 15,42152291.0,PubMed,,Retrospective Cohort / Case-Control,6.5,182,7.0
combination of ivermectin and metformin promotes autophagy in mcf‑7 cells by inhibiting phosphorylation of the pi3k/akt/mtor pathway.,"breast cancer remains one of the leading causes of cancer‑related mortality among women globally, necessitating the exploration of novel therapeutic strategies. the present study investigated the combined effects of ivermectin (ivm) and metformin (met) on the human mammary tumor cell line mcf‑7, with a focus on their mechanisms of action. cell counting kit‑8 assays were employed to evaluate proliferative activity, while transwell migration and scratch assays assessed invasive and migratory capabilities. transcriptomic analysis identified differentially expressed genes and key signalling pathways, while flow cytometry quantified reactive oxygen species (ros) levels. autophagosome formation was visualized using transmission electron microscopy. western blotting and immunofluorescence staining were employed to detect changes in the expression of key proteins. results demonstrated that combined ivm and met intervention significantly inhibited mcf‑7 cell viability after 24 h, showing concentration‑dependent reductions in proliferation, migration and invasiveness. transcriptomic analysis revealed a significant enrichment of the pi3k/akt/mtor signaling pathway, accompanied by decreased expression of thrombospondin‑1 (thbs1). western blotting revealed that the combination therapy reduced phosphorylation levels of phosphorylated (p‑)pi3k, p‑akt and p‑mtor. through the use of thbs1 overexpression plasmids, the present study validated its positive regulatory role in the pi3k/akt/mtor pathway, demonstrating that thbs1 mediates phosphorylation within this signaling cascade. flow cytometry analysis demonstrated that the ivm combined with met treatment group exhibited significantly elevated intracellular ros levels compared with the single‑drug therapy group, triggering oxidative stress responses. after clearing ros using n‑acetyl‑l‑cysteine, the pi3k/akt/mtor signaling pathway was reactivated. additionally, transmission electron microscopy revealed extensive autophagosome formation within tumor cells of the ivm‑met combination group. the results indicate that ivm‑met inhibits pi3k/akt/mtor pathway phosphorylation through the accumulation of ros and the downregulation of thbs1 expression, thereby activating autophagy programs and ultimately leading to tumor cell death.",2026 Jul,42138203.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
survival and recurrence with glp-1 receptor agonists in breast cancer.,"importance: patients with breast cancer (bc) with comorbid obesity or type 2 diabetes (t2d) experience poorer survival. glucagon-like peptide-1 receptor agonists (glp-1 ras) are approved to treat these comorbidities; however, their associations with bc survival and recurrence remain unclear. objective: to evaluate the association between glp-1 ra use and 10-year all-cause mortality and recurrence-free survival (rfs) over the 10-year follow-up period, as well as 5- and 10-year all-cause mortality and rfs probabilities among patients with bc. design, setting, and participants: this retrospective cohort study used trinetx us collaborative network data from women (>/=18 years) with bc from 68 health care organizations who received a diagnosis between april 1, 2006, and april 1, 2023. propensity score matching balanced characteristics. data were analyzed between september 16 and october 3, 2025. exposures: glp-1 ra use (>/=2 prescriptions) during the 6 months before and any time after the index diagnosis; nonuse (0 entries). main outcomes and measures: the primary outcome was all-cause mortality, and the secondary outcome was rfs. cox proportional hazards regression model-estimated hazard ratios (hrs) were restricted to 10 years. kaplan-meier estimators were used to calculate 5- and 10-year all-cause mortality and rfs probabilities. prespecified subgroup (postmenopausal) and landmark (6- and 12-month) analyses were conducted. results: the study comprised 841 831 eligible patients with bc (mean [sd] age, 69.1 [12.2] years). after exclusions and 1:1 propensity score matching, 3 cohorts were identified: 1610 patients for glp-1 ra use vs nonuse (patients with obesity [body mass index >/=30]), 2323 patients for glp-1 ra use vs insulin or metformin (patients with t2d), and 4052 patients for glp-1 ra use vs sodium-glucose cotransporter 2 inhibitors (patients with t2d). among patients with obesity, glp-1 ras were associated with lower hazard of all-cause mortality (hr, 0.35; 95% ci, 0.21-0.58; p < .001) and rfs (hr, 0.44; 95% ci, 0.30-0.64; p < .001) over a 10-year follow-up period. among patients with t2d, glp-1 ras vs insulin or metformin were associated with lower hazard of all-cause mortality (hr, 0.09; 95% ci, 0.06-0.15; p < .001) and rfs (hr, 0.33; 95% ci, 0.21-0.50; p < .001). no significant differences were observed between glp-1 ra and sodium-glucose cotransporter 2 inhibitor groups. subgroup and landmark analyses yielded similar findings. conclusions and relevance: in this cohort study of patients with bc, findings suggested a potential association between glp-1 ra use and improved outcomes among patients with bc who have obesity and related metabolic conditions. these findings support further evaluation of glp-1 ra therapy in randomized clinical trials.",2026 May 1,42113513.0,PubMed,,Randomized Controlled Trial (Phase III/IV),9.0,1610,10.0
management of advanced hr-positive breast cancer using metabolically supported chemotherapy and repurposed drugs: a case report.,"introduction: metastatic hormone receptor-positive (hr+) breast cancer is largely incurable once resistance to conventional treatments occurs. emerging evidence suggests that progression free and overall survival can improve by targeting the distinct metabolic phenotype of cancer cells (warburg effect). we report a durable response in a patient with advanced metastatic breast cancer treated with a multimodal ""press-pulse"" metabolic strategy. case presentation: a 49-year-old female from torino, italy presented with stage iv (ct4n1m1) invasive ductal carcinoma (hr+/her2-, grade 3) with extensive osseous and lymph node metastases, poor performance status (ecog 3) and severe, debilitating pain. she underwent a combinatorial protocol at chemothermia oncology center (istanbul, turkey) comprising of metabolically supported chemotherapy (msct) consisting of docetaxel, doxorubicin, and cyclophosphamide administered following a 14-hour fast and low dose insulin-induced mild hypoglycemia, alongside a strict ketogenic diet (gki < 2.0). adjunctive therapies included local and whole-body hyperthermia, hyperbaric oxygen therapy (hbot), and a combination of repurposed drugs (metformin, aspirin, doxycycline, mebendazole, ivermectin, and famotidine) designed to target metabolic, inflammatory, and survival pathways. results: this multimodal treatment protocol was well tolerated, and grade 3/4 adverse events were not observed. the patient noticed symptomatic improvement and functional recovery shortly following the onset of therapy. follow-up pet-ct scan conducted at 3 months revealed reduced tumor burden. at 6 months, the patient was reported to have a near complete response with the resolution of active bone metastases. on a maintenance schedule, the patient remains in sustained remission as of january 2026, over three years following diagnosis, with a full return to normal daily activities (ecog 0). conclusion: this case highlights the potential of a comprehensive metabolic approach to cancer treatment that combines therapeutic ketosis, metabolically supported chemotherapy, physical modalities (hyperthermia/hbot), and repurposed drugs. a durable response in a patient with otherwise poor prognosis was achieved after systematically targeting cancer cell bioenergetics and the tumor microenvironment. these findings support further clinical investigation into multimodal metabolic therapies for advanced hr+ breast cancer.",2026,42100430.0,PubMed,,Case Report / Case Study,3.0,-1,3.0
